"Link","Title","Author","Time","Tag"
"https://cryptonews.com/news/us-house-proposes-bill-to-ban-crypto-mixers-for-two-years.htm","US House Proposes Bill to Ban Cryptocurrency Mixers for Two Years","Hassan Shittu","2024-05-09T04:10:21+00:00","Blockchain Integrity Act Crypto mixers"
"https://cryptonews.com/news/bitcoin-price-prediction-as-1b-liquidity-fund-launched-for-hong-kong-crypto-etfs-will-asia-lead-the-next-bull-market.htm","Bitcoin Price Prediction as $1B Liquidity Fund Launched for Hong Kong Crypto ETFs – Will Asia Lead the Next Bull Market?","Arslan Butt","2024-05-08T22:58:37+00:00","Bitcoin bitcoin news"
"https://cryptonews.com/news/best-crypto-to-buy-today-may-8-ethereum-classic-tron-kaspa.htm","Best Crypto to Buy Today May 8 – Ethereum Classic, Tron, Kaspa","Joel Frank","2024-05-08T21:30:10+00:00","Best Crypto Bitcoin btc"
"https://cryptonews.com/news/shiba-inu-investors-move-to-new-ico-targeting-1000-returns.htm","Shiba Inu Investors Move to New ICO, Targeting 1000% Returns","Joel Frank","2024-05-08T21:12:23+00:00","SHIB Shiba inu"
"https://cryptonews.com/news/coincheck-targets-nasdaq-listing-in-q3.htm","Japanese Exchange Coincheck Targets Nasdaq Listing in Q3 – Crypto Adoption Rising?","Jimmy Aki","2024-05-08T20:27:27+00:00","Coincheck Exchange crypto adoption Japan"
"https://cryptonews.com/news/trump-token-soars-on-base-with-traders-eyeing-next-dog-themed-coin-for-100x-jump.htm","'Trump' Token Soars on Base, with Traders Eyeing Next Dog-Themed Coin for 100x Jump","Sam Cooling","2024-05-08T17:50:40+00:00","Base meme coin Trump TRUMP token"
"https://cryptonews.com/news/terra-luna-classic-price-prediction-as-lunc-rallies-4-despite-failed-governance-proposal-can-it-sustain-the-momentum.htm","Terra Luna Classic Price Prediction as LUNC Rallies 4% Despite Failed Governance Proposal – Can It Sustain the Momentum?","Joel Frank","2024-05-08T17:42:50+00:00","Luna LUNC Terra Luna Classic"
"https://cryptonews.com/news/solanas-sealana-seal-is-making-meme-coins-great-again-raises-300000-in-first-week.htm","Solana’s SEALANA ($SEAL) Is Making Meme Coins Great Again, Raises $300,000 in First Week","Tim Hakki","2024-05-08T17:32:25+00:00","Meme Coins sealana Solana"
"https://cryptonews.com/news/tokenized-assets-mastercard.htm","US Banks and Mastercard Test Ledger Tech for Settling Tokenized Assets – Institutional Adoption on the Rise?","Andrew Throuvalas","2024-05-08T17:30:31+00:00","Asset tokenization JPMorgan mastercard"
"https://cryptonews.com/news/last-chance-to-buy-solanas-greatest-multichain-meme-coin-dogeverse-in-17-million-presale.htm","Last Chance to Buy Solana’s Greatest Multichain Meme Coin, $DOGEVERSE, In $17 Million Presale","Tim Hakki","2024-05-08T17:15:06+00:00","Dogeverse Meme coin"
"https://cryptonews.com/news/trump-nft-buyers-dine-with-trump-as-stormy-daniels-testafies-in-trump-trial.htm","Donald Trump Set To Dine With NFT Buyers At Mar-a-Lago: Report","Julia Smith","2024-05-08T17:12:41+00:00","Bitcoin Blockchain Donald Trump NFTs"
"https://cryptonews.com/news/celestias-tia-price-falls-5-as-capital-shifts-to-upcoming-solana-meme-coin.htm","Celestia's TIA Price Falls 5%, as Capital Shifts to Upcoming Solana Meme Coin","Tim Hakki","2024-05-08T13:24:30+00:00","Celestia sealana TIA"
"https://cryptonews.com/news/sec-argues-for-injunctions-in-final-response-in-ripple-xrp-case.htm","SEC Argues for Injunctions in Final Response of Ripple XRP Case","Hassan Shittu","2024-05-08T13:00:30+00:00","Ripple SEC SEC Vs XRP"
"https://cryptonews.com/news/chaingpt-pad-launches-engines-of-fury-bringing-enhanced-web3-gaming-experiences-to-mainstream-players.htm","ChainGPT Pad launches Engines of Fury, bringing enhanced Web3 gaming experiences to mainstream players","",""
"https://cryptonews.com/news/ai-predicts-china-will-ban-high-energy-blockchains.htm","AI Predicts China Will Ban High-Energy Blockchains","Ruholamin Haqshanas","2024-05-08T11:48:38+00:00","Blockchain China Energy"
"https://cryptonews.com/news/crypto-scam-update-stolen-71m-wbtc-loot-distributed-among-multiple-wallets.htm","Crypto Scam Update: Stolen $71M WBTC Loot Distributed Among Multiple Wallets","Ruholamin Haqshanas","2024-05-08T11:02:30+00:00","Crypto hack crypto scam"
"https://cryptonews.com/news/pushds-innovative-e-commerce-model-draws-monero-zcash-for-potential-100x-returns.htm","Pushd’s Innovative E-Commerce Model Draws Monero & Zcash for Potential 100X Returns","",""
