Link,Title,Badge
https://cryptonews.com/news/ai-predicts-china-will-ban-high-energy-blockchains.htm,AI Predicts China Will Ban High-Energy Blockchains,Blockchain News
https://cryptonews.com/news/crypto-scam-update-stolen-71m-wbtc-loot-distributed-among-multiple-wallets.htm,Crypto Scam Update: Stolen $71M WBTC Loot Distributed Among Multiple Wallets,Altcoin News
https://cryptonews.com/news/pushds-innovative-e-commerce-model-draws-monero-zcash-for-potential-100x-returns.htm,Pushd?s Innovative E-Commerce Model Draws Monero & Zcash for Potential 100X Returns,Press Releases
https://cryptonews.com/news/leading-asian-crypto-info-provider-coinness-launches-english-live-feed-with-free-api-offer.htm,Leading Asian crypto info provider CoinNess launches English Live Feed with free API offer,Press Releases
https://cryptonews.com/news/chainalysis-launches-regional-headquarters-in-dubai.htm,Blockchain Intelligence Platform Chainalysis Launches Regional Headquarters in Dubai,Blockchain News
https://cryptonews.com/exclusives/armani-ferrante-ceo-of-backpack-on-solana-and-web3-super-apps-ep-332.htm,"Armani Ferrante, CEO of Backpack, on Solana and Web3 Super Apps | Ep. 332",Podcast
https://cryptonews.com/news/solana-ecosystem-sol-price-report-april-2024.htm,A Spring Downfall: Solana Ecosystem and SOL Price Action in April 2024,Exclusives
https://cryptonews.com/news/majority-of-americans-see-financial-system-as-outdated-but-remain-skeptical-of-crypto-as-solution.htm,"Majority of Americans See Financial System as 'Outdated,' But Remain Skeptical of Crypto as Solution",Altcoin News
https://cryptonews.com/news/starknet-boosts-blockchain-innovation-with-5m-grant-program.htm,Starknet Foundation Boosts Blockchain Innovation With $5M Grants Program,Blockchain News
https://cryptonews.com/news/robinhood-ceo-criticizes-regulatory-onslaught-on-crypto-us-pledges-to-challenge-sec.htm,"Robinhood CEO Criticizes 'Regulatory Onslaught' on Crypto US, Pledges to Challenge SEC",Blockchain News
https://cryptonews.com/news/poloniex-hacker-funnels-3-4-million-through-tornado-cash-mixer.htm,Poloniex Hacker Reportedly Funnels $3.4 Million through Tornado Cash Mixer,Blockchain News
https://cryptonews.com/news/state-owned-german-bank-introduce-digital-bonds.htm,State-owned German Bank Set to Introduce Blockchain-Backed Digital Bonds,Blockchain News
https://cryptonews.com/news/digital-currency-group-finds-crypto-significant-ahead-of-joe-biden-donald-trump-election.htm,"Crypto Is A Key Issue For 1 in 5 Voters In The 2024 US Elections, Digital Currency Group Says",Blockchain News
https://cryptonews.com/news/crypto-experts-bulk-up-on-new-web3-utility-coin-next-big-bitcoin-challenger.htm,Crypto Experts Bulk Up on New Web3 Utility Coin ? Next Big Bitcoin Challenger?,Industry Talk
https://cryptonews.com/news/best-crypto-to-buy-now-may-7-bitcoin-aioz-network-ethena.htm,"Best Crypto to Buy Now May 7 ? Bitcoin, AIOZ Network, Ethena",Industry Talk
https://cryptonews.com/news/colombias-bancolombia-launches-crypto-exchange-wenia-and-stablecoin-copw.htm,Colombia's Bancolombia Launches Crypto Exchange Wenia and Stablecoin COPW,Blockchain News
https://cryptonews.com/news/worldcoin-price-rises-on-may-9-new-chatgpt-rumors-and-traders-focus-on-ai-meme-coin-for-gains.htm,Worldcoin Price Rises on May 9 New ChatGPT Rumors and Traders Focus on AI Meme Coin for Gains,Industry Talk
https://cryptonews.com/news/kelexo-klxo-game-changing-presale-attracts-litecoin-ltc-ethereum-classic-etc-investors-seeking-high-returns.htm,Kelexo (KLXO) Game-Changing Presale Attracts Litecoin (LTC) & Ethereum Classic (ETC) Investors Seeking High Returns,Press Releases
https://cryptonews.com/news/richard-teng-says-tigran-gambaryan-and-binance-employees-offered-settlement-prior-to-binance-executives-detainment.htm,Binance CEO Claims Nigeria Demanded Secret Settlement From Now Detained Binance Executive In January,Blockchain News
https://cryptonews.com/news/ethernity-switches-to-ai-enhanced-ethereum-layer-2.htm,Ethernity Switches to AI Enhanced Ethereum Layer 2 to Prevent Counterfeit Asset Trading,News
https://cryptonews.com/news/meme-coin-news-tesla-adds-doge-payments-whale-buys-10-4m-in-pepe.htm,"Meme Coin News: Tesla Adds DOGE Payments, Whale Buys $10.4M in PEPE",Altcoin News
https://cryptonews.com/news/chaingpt-pad-launches-omnia-protocol-to-enhance-and-secure-web3-for-defi-users-via-depin-and-mev.htm,ChainGPT Pad launches OMNIA Protocol to enhance and secure Web3 for DeFi users via DePIN and MEV,Press Releases
https://cryptonews.com/news/nigeria-to-delist-naira-from-crypto-p2p-space-to-curb-manipulation.htm,Nigeria to Delist Naira From Crypto P2P Space to Curb Manipulation,Altcoin News
https://cryptonews.com/news/ubisofts-upcoming-web3-game-is-a-defining-moment-for-the-future-of-video-games.htm,Ubisoft?s Upcoming Web3 Game Is A Defining Moment For The Future Of Video Games,Press Releases
https://cryptonews.com/news/exodus-approved-for-nyse-listing-trading-begins-on-may-9.htm,"Exodus Approved for NYSE Listing, Trading Begins on May 9",Blockchain News
https://cryptonews.com/news/is-bonk-price-heading-to-zero-drops-6-as-solana-meme-legend-seal-raises-250000.htm,"Is BONK Price Heading to Zero? Drops 8.5% as Solana Meme Legend SEAL Raises $250,000",Industry Talk
https://cryptonews.com/news/bitgert-coin-crypto-experts-forecast-a-potential-500-price-surge.htm,Bitgert Coin: Crypto Experts Forecast a Potential +500% Price Surge,Press Releases
https://cryptonews.com/news/dont-miss-the-penguiana-presale-as-pengu-is-set-to-outshine-slothana-myro-with-over-500-sol-raised-in-hours.htm,Don't Miss The Penguiana Presale As $PENGU Is Set to Outshine Slothana & Myro With Over 500 SOL Raised In Hours,Press Releases
https://cryptonews.com/news/polygon-launches-alpha-testnet-of-zero-knowledge-rollup-solution-miden.htm,Polygon Launches Alpha Testnet of Zero-Knowledge Rollup Solution 'Miden',Ethereum News
https://cryptonews.com/news/public-mining-companies-experience-production-decline.htm,Public Mining Companies Experience Production Decline of 6-12% in April Post-Halving,News
https://cryptonews.com/news/what-is-blastup-launchpad-and-how-is-it-changing-the-game-for-new-crypto-launches.htm,What Is BlastUP Launchpad And How Is It Changing The Game For New Crypto Launches,Press Releases
https://cryptonews.com/news/sec-delays-decision-on-galaxy-spot-eth-etf.htm,SEC Delays Decision on Invesco Galaxy Spot Ethereum ETF,News
https://cryptonews.com/news/bitcoin-miners-after-halving.htm,Here's How Bitcoin Miners Performed Last Month After The Halving,Bitcoin News
https://cryptonews.com/news/kenya-appoints-marathon-digital-as-consultant-for-cryptocurrency-regime-and-mining-energy-needs.htm,Kenya Appoints Marathon Digital as Consultant for Cryptocurrency Regime and Mining Energy Needs,Blockchain News
https://cryptonews.com/news/cartier-jewelry-heir-busted-for-laundering-money-with-crypto.htm,Cartier Jewelry Heir Busted for Laundering Money with Crypto,Blockchain News
https://cryptonews.com/news/bitcoin-wallet-comes-alive-after-over-a-decade-of-inactivity.htm,Whale's Bitcoin Wallet Comes Alive After Over a Decade of Inactivity,Blockchain News
https://cryptonews.com/news/chainlink-link-and-cardano-ada-investors-target-20x-returns-with-kelexo-klxo-amid-post-halving-stability.htm,Chainlink (LINK) and Cardano (ADA) Investors Target 20X Returns with Kelexo (KLXO) Amid Post-Halving Stability,Press Releases
https://cryptonews.com/news/uniswap-neo-communities-excited-by-pushds-strategic-e-commerce-advances-in-stage-6-presale.htm,Uniswap and NEO Communities Excited by Pushd?s Strategic E-Commerce Advances in Stage 6 Presale,Press Releases
https://cryptonews.com/news/once-a-meme-now-a-memecoin-sensation-apu-apustaja.htm,"Once a Meme, Now a Memecoin Sensation: Apu Apustaja",Press Releases
https://cryptonews.com/news/friend-is-down-6-3-but-experts-say-new-dog-themed-ico-can-offer-1763-returns.htm,"FRIEND Is Down 6.3%, But Experts Say New Dog-Themed Crypto ICO Can Offer 1,763% Returns",Industry Talk
https://cryptonews.com/news/stacks-hedera-network-and-iron-fish-join-axelar-interchain.htm,"Stacks, Moonriver, Hedera Network and Iron Fish Join Axelar's Interchain Amplifier",News
https://cryptonews.com/news/australian-federal-court-rules-mostly-in-favor-of-regulator-in-case-against-bps-financial.htm,Australian Federal Court Rules Mostly in Favor of Regulator in Case Against BPS Financial,Altcoin News
https://cryptonews.com/news/2-key-crypto-events-to-keep-an-eye-on-in-may-2024-secs-ethereum-eth-etf-decision-retik-finance-retik-launch-on-21st-may-2024.htm,"2 Key Crypto Events to Keep an Eye on in May 2024: SEC's Ethereum (ETH) ETF Decision, Retik Finance (RETIK) Launch on 21st May 2024",Press Releases
https://cryptonews.com/news/over-90-of-stablecoin-transaction-volumes-are-not-from-genuine-users-study-reveals.htm,Over 90% of Stablecoin Transaction Volumes Are Not From Genuine Users: Visa Study,Altcoin News
https://cryptonews.com/news/the-time-is-now-bitgert-coin-price-to-soar-in-the-upcoming-week.htm,The Time Is Now: Bitgert Coin Price to Soar in the Upcoming Week,Press Releases
https://cryptonews.com/news/bitcoin-price-prediction-45.htm,Bitcoin Price Prediction: $64K Surge Amid ETF Inflows & 1B Transactions,News
https://cryptonews.com/news/crypto-venture-capital-funding-surpasses-1-billion.htm,Crypto Venture Capital Funding Surpasses $1 Billion for Second Consecutive Month,Altcoin News
https://cryptonews.com/news/bitcoin-crosses-one-billion-transactions-after-15-years.htm,Bitcoin Crosses One Billion Transactions After 15 Years,Bitcoin News
https://cryptonews.com/news/dogwifhat-pepe-and-dogecoin-all-spike-as-crypto-market-cap-gains-7-is-it-time-to-buy-meme-coins.htm,"Dogwifhat, Pepe and Dogecoin All Spike As Crypto Market Cap Gains 7% - Is It Time to Buy Meme Coins?",Price Predictions
https://cryptonews.com/news/crypto-excluded-from-new-south-korean-donations-law.htm,Crypto Excluded from New South Korean Donations Law,News
https://cryptonews.com/news/coinpoker-hosts-top-poker-tournament-of-the-year-csop-plus.htm,CoinPoker Hosts The Top Poker Tournaments Of The Year In May - CSOP+,Blockchain News
https://cryptonews.com/news/bitcoins-bearish-phase-ends-can-this-chainlink-competitor-surge-after-bullish-signs.htm,"Bitcoin's Bearish Phase Ends, Can this Chainlink Competitor Surge After Bullish Signs?",Press Releases
https://cryptonews.com/news/internet-computer-launches-ckusdc-sepolia-an-icp-copy-of-usdc-in-ckerc20-token-standard.htm,"Internet Computer Launches ckUSDC Sepolia, an ICP Copy of USDC in ckERC20 Token Standard",Altcoin News
https://cryptonews.com/news/why-1k-invested-in-aptos-optimism-and-blastup-today-could-mean-buying-a-dream-house-by-the-end-of-2024.htm,"Why $1k Invested in Aptos, Optimism and BlastUP Today Could Mean Buying a Dream House By the End Of 2024",Press Releases
https://cryptonews.com/news/ripple-price-prediction-as-charts-show-potential-for-50x-returns-and-analysts-predict-a-spike-time-to-buy.htm,Ripple Price Prediction as Charts Show Potential for 50x Returns And Analysts Predict A Spike - Time to Buy?,Price Predictions
https://cryptonews.com/news/eco-friendly-dogecoin-killer-dogecoin20-hits-mexc-tomorrow-with-45-staking-rewards.htm,Eco Friendly Dogecoin-Killer Dogecoin20 Hits MEXC Tomorrow With 45% Staking Rewards!,Industry Talk
https://cryptonews.com/news/bitgert-coin-may-2024s-crypto-marvel-in-the-making.htm,Bitgert Coin: May 2024's Crypto Marvel in the Making,Press Releases
https://cryptonews.com/news/friend-tech-native-token-tanks-after-biggest-whale-dumps.htm,Friend.tech Native Token Tanks 50% After Biggest Whale Dumps,Altcoin News
https://cryptonews.com/news/is-internet-computer-going-to-zero-icp-price-drops-2-3-investors-rush-into-this-new-gamblefi-token.htm,"Is Internet Computer Going to Zero? ICP Price Drops 2.3%, Investors Rush Into This New GambleFi Token",Industry Talk
https://cryptonews.com/news/chinas-next-gen-startups-take-on-industry-giant-openai.htm,Chinese AI Startups Take on Industry Giant OpenAI,Technology News
https://cryptonews.com/news/top-crypto-gainers-today-on-dexscreener-arky-peepo-three.htm,"Top Crypto Gainers Today on DEXScreener ? ARKY, PEEPO, THREE",Industry Talk
https://cryptonews.com/news/edward-snowden-addresses-bitcoin-privacy-after-crypto-mixers-charged.htm,Edward Snowden Warns ?The Clock Is Ticking? for Bitcoin Privacy,Bitcoin News
https://cryptonews.com/news/best-crypto-to-buy-today-may-3-ordinals-pendle-hedera.htm,"Best Crypto to Buy Today May 3 ? Ordinals, Pendle, Hedera",Industry Talk
https://cryptonews.com/news/nigerian-sec-to-meet-with-crypto-exchanges-amid-binance-execuitives-arrest-crypto-regulation-crackdown.htm,Nigerian SEC Set To Meet With Foreign Crypto Exchanges Amid Regulatory Crackdown: Report,News
https://cryptonews.com/exclusives/tascha-punyaneramitdee-founder-of-init-capital-on-defi-liquidity-hook-money-markets-point-farming-in-crypto-and-2024-trends-ep-331.htm,"Tascha Punyaneramitdee, Founder of INIT Capital, on DeFi, Liquidity Hook Money Markets, Point Farming in Crypto, and 2024 Trends | Ep. 331",DeFi News
https://cryptonews.com/news/vodafone-aims-to-use-sim-cards-to-facilitate-crypto-transactions-on-mobile-phones.htm,Vodafone Aims to Use SIM Cards to Facilitate Crypto Transactions on Mobile Phones,Blockchain News
https://cryptonews.com/news/bonk-price-is-up-13-4-but-experts-say-new-dog-themed-ico-can-offer-1026-returns.htm,"Bonk Price Is Up 13.4%, But Experts Say New Dog-Themed ICO Can Offer 1,026% Returns",Industry Talk
https://cryptonews.com/news/ens-takes-legal-action-over-unstoppable-domains-blockchain-naming-patent.htm,ENS Takes Legal Action Over Unstoppable Domains' Blockchain Naming Patent,Blockchain News
https://cryptonews.com/news/befe-coin-the-meme-coin-riches-generator-you-need-to-know.htm,BEFE Coin: The MEME Coin Riches Generator You Need to Know,Press Releases
https://cryptonews.com/news/unveiling-bitgert-coin-the-crypto-sensation-of-the-month.htm,Unveiling Bitgert Coin: The Crypto Sensation of the Month,Press Releases
https://cryptonews.com/news/penguiana-launches-pengu-token-presale-is-this-the-next-solanas-meme-moonshot.htm,Penguiana Launches $PENGU Token Presale Is This The Next Solana's Meme Moonshot?,Press Releases
https://cryptonews.com/news/announcement-dede-coin-the-dino-meme-cryptocurrency-on-solana-captures-global-interest.htm,"Announcement: $DEDE Coin, the Dino-Meme Cryptocurrency on Solana, Captures Global Interest",Press Releases
https://cryptonews.com/news/tether-partners-with-chainalysis-to-monitor-transactions.htm,Tether Partners With Chainalysis to Monitor Transactions and Combat Illicit Activity,News
https://cryptonews.com/news/chimpzee-continues-charitable-efforts-as-web3s-most-wholesome-passive-income-crypto-project-plants-more-trees-nft-passports-launch.htm,Chimpzee Continues Charitable Efforts As Web3's Most Wholesome Passive Income Crypto Project Plants More Trees - NFT Passports Launch,Press Releases
https://cryptonews.com/news/top-crypto-gainers-today-on-dexscreener-felon-yield-boob.htm,"Top Crypto Gainers Today on DEXScreener ? FELON, YIELD, BOOB",Altcoin News
https://cryptonews.com/news/neo-price-prediction-as-neo-token-slips-2-3-despite-market-rebound-can-neo-reach-20.htm,Neo Price Prediction as NEO Token Slips 2.3% Despite Market Rebound ? Can NEO Reach $20?,Price Predictions
https://cryptonews.com/news/iran-and-russia-working-on-bilateral-cbdc-powered-trade-solutions.htm,Iran and Russia Working on Bilateral CBDC-powered Trade Solutions,News
https://cryptonews.com/news/whales-dive-back-into-solana-meme-coins-with-sealana-crypto-presale-raising-100000-in-minutes-2.htm,"Whales Dive Back Into Solana Meme Coins with SEALANA Crypto Presale Raising $100,000 in Minutes",Industry Talk
https://cryptonews.com/news/hundred-finance-hacker-transfers-stolen-funds.htm,Hundred Finance Hacker Transfers Stolen Funds After A Year Of Inactivity,Blockchain News
https://cryptonews.com/news/wormhole-w-ethena-ena-both-pump-12-in-24-hours-but-maga-vp-mvp-is-the-one-with-1100x-potential.htm,"Wormhole (W) & Ethena (ENA) both pump 12% in 24 hours, but MAGA VP ($MVP) is the one with 1100x potential",Press Releases
https://cryptonews.com/news/us-sanctions-on-crypto-addresses.htm,US Imposes Sanctions on Crypto Addresses Linked to Russian Drone Maker,Blockchain News
https://cryptonews.com/news/doge-price-is-up-7-holders-venture-into-new-dog-themed-ico-looking-for-1121-returns.htm,"DOGE Price Is Up 7%, Holders Venture Into New Dog-Themed ICO, Looking For 1,121% returns",Industry Talk
https://cryptonews.com/news/ex-starknet-and-yuga-labs-execs-join-kraken-backed-100m-l1-nibiru.htm,Ex-Starknet and Yuga Labs Execs Join Kraken-backed $100M L1 Nibiru Chain,Blockchain News
https://cryptonews.com/news/is-sei-going-to-zero-sei-price-drops-3-investors-stockpile-this-new-gamblefi-token.htm,"Is Sei Going to Zero? SEI Price Drops 11%, Investors Stockpile This New GambleFi Token",Industry Talk
https://cryptonews.com/news/whales-dive-back-into-solana-meme-coins-with-sealana-crypto-presale-raising-100000-in-minutes.htm,"Whales Dive Back Into Solana Meme Coins with SEALANA Crypto Presale Raising $100,000 in Minutes",Industry Talk
https://cryptonews.com/news/ai-could-detect-money-laundering-on-bitcoin-blockchain-elliptic-report.htm,AI Could Detect Money Laundering on Bitcoin Blockchain: Elliptic Report,Blockchain News
https://cryptonews.com/news/token2049-day-2-recap-branching-crypto-cap-uniting-l2s-tokenizing-staking-and-more.htm,"TOKEN2049 Day 2 Recap: Branching Crypto Cap, Uniting L2s, Tokenizing Staking and More",Blockchain News
https://cryptonews.com/news/riot-platforms-reports-211-8m-q1-2024-net-income.htm,"Riot Platforms Reports $211.8M Q1 2024 Net Income, Falls Short of Revenue Expectations",Blockchain News
https://cryptonews.com/news/hong-kong-za-bank-roll-out-virtual-asset-retail-services.htm,Hong Kong's ZA Bank to Roll Out Virtual Asset Retail Services as New Regulations Approach,News
https://cryptonews.com/news/stacks-price-prediction-as-stx-token-slides-under-2-how-low-will-stx-go.htm,Stacks Price Prediction as STX Token Slides Under $2 ? How Low Will STX Go?,Price Predictions
https://cryptonews.com/news/top-crypto-gainers-today-on-dexscreener-aitax-america-booe.htm,"Top Crypto Gainers Today on DEXScreener ? AITAX, AMERICA, BOOE",Altcoin News
https://cryptonews.com/news/best-crypto-to-buy-today-april-30-wormhole-optimism-axelar.htm,"Best Crypto to Buy Today April 30 ? Wormhole, Optimism, Axelar",Altcoin News
https://cryptonews.com/news/solanas-greatest-multichain-meme-coin-dogeverse-bags-13-million-in-ongoing-presale-2.htm,Solana?s Greatest Multichain Meme Coin Dogeverse Bags $13 Million In Ongoing Presale,Industry Talk
https://cryptonews.com/news/new-ai-meme-coin-ico-wienerai-adds-trading-bot-ai-companion-feature-laps-up-700000-2.htm,"New AI Meme Coin ICO WienerAI Adds Trading Bot AI Companion Feature, Laps Up $700,000",Industry Talk
https://cryptonews.com/news/roger-ver-arrested-for-50m-tax-fraud.htm,Roger Ver Arrested for $50M Tax Fraud,Blockchain News
https://cryptonews.com/news/rwa-tokenization-firm-securitize-secures-47-million-investment-led-by-blackrock.htm,RWA Tokenization Firm Securitize Secures $47 Million Investment Led by BlackRock,Blockchain News
https://cryptonews.com/news/new-ai-meme-coin-ico-wienerai-adds-trading-bot-ai-companion-feature-laps-up-700000.htm,"New AI Meme Coin ICO WienerAI Adds Trading Bot AI Companion Feature, Laps Up $700,000",Press Releases
https://cryptonews.com/news/solanas-greatest-multichain-meme-coin-dogeverse-bags-13-million-in-ongoing-presale.htm,Solana?s Greatest Multichain Meme Coin Dogeverse Bags $13 Million In Ongoing Presale,Press Releases
https://cryptonews.com/news/is-arweave-going-to-zero-ar-price-drops-18-5-while-traders-are-accumulating-this-new-gamblefi-token.htm,"Is Arweave Going to Zero? AR Price Drops 18.7%, While Traders Are Accumulating This New GambleFi Token",Industry Talk
https://cryptonews.com/news/baxus-raises-5-million-in-funding-to-expand-web3-spirits-marketplace.htm,BAXUS Raises $5 Million in Funding to Expand Web3 Spirits Marketplace,Blockchain News
https://cryptonews.com/news/mollars-token-presale-extended-as-first-crypto-exchange-confirms-it-will-launch.htm,Mollars Token Presale Extended As First Crypto Exchange Confirms It Will Launch,Industry Talk
https://cryptonews.com/news/hale-investor-who-made-5000000-last-bull-run-reveals-3-coins-he-is-accumulating-for-2024-gains.htm,"hale Investor Who Made $5,000,000 Last Bull Run Reveals 3 Coins He is Accumulating for 2024 Gains",Press Releases
https://cryptonews.com/news/solana-meme-coin-penguiana-secures-200000-seed-round-from-nanosprout-ventures.htm,"Solana Meme Coin Penguiana Secures $200,000 Seed Round from Nanosprout Ventures",Press Releases
https://cryptonews.com/news/chirp-network-joins-peaq-to-build-unified-depin-connectivity.htm,Chirp Network Joins peaq to Build Unified DePIN Connectivity,Blockchain News
https://cryptonews.com/news/rwa-tokenization-protocols-surpass-8-billion-in-tvl.htm,"RWA Tokenization Protocols Experience Explosive Growth, Surpassing $8 Billion in TVL",News
